root_threshold,leaves120,leaves140,leaves240,refinements,coarsenings
0.1,30353,32005,29849,130359,126095
0.5,18138,21631,7099,132736,131722
1.0,9822,10704,8,43751,43750
2.0,1534,1240,1,6355,6355
5.0,50,36,1,234,234
10.0,8,8,1,132,132
